
"['2023-02-18 05:06:25', '31.4']"
"['2023-02-18 05:05:25', '31.4']"
"['2023-02-18 06:02:25', '32.0']"
"['2023-02-18 06:01:25', '32.0']"
"['2023-02-18 06:00:25', '32.0']"
"['2023-02-18 05:59:25', '32.0']"
"['2023-02-18 05:58:25', '32.0']"
"['2023-02-18 05:57:25', '32.0']"
"['2023-02-18 05:56:25', '32.0']"
"['2023-02-18 05:55:25', '31.9']"
"['2023-02-18 05:54:25', '31.9']"
"['2023-02-18 05:53:25', '31.9']"
"['2023-02-18 05:52:25', '31.9']"
"['2023-02-18 05:51:25', '31.9']"
"['2023-02-18 05:50:25', '31.9']"
"['2023-02-18 05:49:25', '31.9']"
"['2023-02-18 05:48:25', '31.9']"
"['2023-02-18 05:47:25', '31.9']"
"['2023-02-18 05:46:25', '31.8']"
"['2023-02-18 05:45:25', '31.8']"
"['2023-02-18 05:44:25', '31.8']"
"['2023-02-18 05:43:25', '31.8']"
"['2023-02-18 05:42:25', '31.8']"
"['2023-02-18 05:41:25', '31.8']"
"['2023-02-18 05:40:25', '31.8']"
"['2023-02-18 05:39:25', '31.8']"
"['2023-02-18 05:38:25', '31.8']"
"['2023-02-18 06:37:25', '33.2']"
"['2023-02-18 06:36:25', '33.2']"
"['2023-02-18 06:42:25', '33.3']"
"['2023-02-18 06:41:25', '33.3']"
"['2023-02-18 06:49:25', '33.4']"
"['2023-02-18 06:48:25', '33.4']"
"['2023-02-18 06:55:25', '33.4']"
"['2023-02-18 06:54:25', '33.4']"
"['2023-02-18 07:00:25', '33.3']"
"['2023-02-18 06:59:25', '33.3']"
"['2023-02-18 07:02:25', '33.3']"
"['2023-02-18 07:01:25', '33.3']"
"['2023-02-18 07:07:25', '33.3']"
"['2023-02-18 07:06:25', '33.3']"
"['2023-02-18 07:13:25', '33.2']"
"['2023-02-18 07:12:25', '33.3']"
"['2023-02-18 07:17:25', '33.2']"
"['2023-02-18 07:16:25', '33.2']"
"['2023-02-18 07:23:25', '33.0']"
"['2023-02-18 07:22:25', '33.0']"
"['2023-02-18 07:34:25', '32.9']"
"['2023-02-18 07:33:25', '33.0']"
"['2023-02-18 07:32:25', '33.0']"
"['2023-02-18 07:31:25', '33.0']"
"['2023-02-18 07:30:25', '33.0']"
"['2023-02-18 07:46:25', '32.7']"
"['2023-02-18 07:45:25', '32.8']"
"['2023-02-18 07:51:25', '32.5']"
"['2023-02-18 07:50:25', '32.7']"
"['2023-02-18 07:53:25', '32.5']"
"['2023-02-18 07:52:25', '32.5']"
"['2023-02-18 07:58:25', '32.5']"
"['2023-02-18 07:57:25', '32.5']"
"['2023-02-18 08:02:25', '32.4']"
"['2023-02-18 08:01:25', '32.5']"
"['2023-02-18 08:04:25', '32.4']"
"['2023-02-18 08:03:25', '32.4']"
"['2023-02-18 08:10:25', '32.4']"
"['2023-02-18 08:09:25', '32.4']"
"['2023-02-18 08:12:25', '32.4']"
"['2023-02-18 08:11:25', '32.4']"
"['2023-02-18 08:17:25', '32.3']"
"['2023-02-18 08:16:25', '32.3']"
"['2023-02-18 08:20:25', '32.3']"
"['2023-02-18 08:19:25', '32.3']"
"['2023-02-18 08:27:25', '32.2']"
"['2023-02-18 08:26:25', '32.2']"
"['2023-02-18 08:47:25', '32.0']"
"['2023-02-18 08:46:25', '32.0']"
"['2023-02-18 08:45:25', '32.0']"
"['2023-02-18 08:44:25', '32.0']"
"['2023-02-18 08:43:25', '32.0']"
"['2023-02-18 08:42:25', '32.0']"
"['2023-02-18 08:41:25', '32.0']"
"['2023-02-18 08:40:25', '32.0']"
"['2023-02-18 08:39:25', '32.0']"
"['2023-02-18 08:38:25', '32.0']"
"['2023-02-18 08:37:25', '32.0']"
"['2023-02-18 08:36:25', '32.0']"
"['2023-02-18 08:35:25', '32.0']"
"['2023-02-18 08:34:25', '32.0']"
"['2023-02-18 08:33:25', '32.0']"
"['2023-02-18 08:32:25', '32.0']"
"['2023-02-18 08:31:25', '32.2']"
"['2023-02-18 08:50:25', '32.0']"
"['2023-02-18 08:49:25', '32.0']"
"['2023-02-18 08:53:25', '32.0']"
"['2023-02-18 08:52:25', '32.0']"
"['2023-02-18 09:00:25', '32.0']"
"['2023-02-18 08:59:25', '32.0']"
"['2023-02-18 08:58:25', '32.0']"
"['2023-02-18 09:03:25', '32.0']"
"['2023-02-18 09:02:25', '32.0']"
"['2023-02-18 09:05:25', '32.0']"
"['2023-02-18 09:04:25', '32.0']"
"['2023-02-18 09:07:25', '32.0']"
"['2023-02-18 09:06:25', '32.0']"
"['2023-02-18 09:12:25', '31.9']"
"['2023-02-18 09:11:25', '31.9']"
"['2023-02-18 09:20:25', '31.9']"
"['2023-02-18 09:19:25', '31.9']"
"['2023-02-18 09:18:25', '31.9']"
"['2023-02-18 09:17:25', '31.9']"
"['2023-02-18 09:16:25', '31.9']"
"['2023-02-18 09:15:25', '31.9']"
"['2023-02-18 09:14:25', '31.9']"
"['2023-02-18 09:29:25', '31.8']"
"['2023-02-18 09:28:25', '31.8']"
"['2023-02-18 09:27:25', '31.8']"
"['2023-02-18 09:26:25', '31.8']"
"['2023-02-18 09:25:25', '31.8']"
"['2023-02-18 09:24:25', '31.9']"
"['2023-02-18 09:23:25', '31.9']"
"['2023-02-18 09:22:25', '31.9']"
"['2023-02-18 09:21:25', '31.9']"
"['2023-02-18 09:31:25', '31.8']"
"['2023-02-18 09:30:25', '31.8']"
"['2023-02-18 09:34:25', '31.6']"
"['2023-02-18 09:33:25', '31.6']"
"['2023-02-18 09:32:25', '31.6']"
"['2023-02-18 10:02:25', '31.5']"
"['2023-02-18 10:01:25', '31.5']"
"['2023-02-18 10:00:25', '31.5']"
"['2023-02-18 09:59:25', '31.5']"
"['2023-02-18 09:58:25', '31.5']"
"['2023-02-18 09:57:25', '31.6']"
"['2023-02-18 09:56:25', '31.6']"
"['2023-02-18 09:55:25', '31.6']"
"['2023-02-18 09:54:25', '31.6']"
"['2023-02-18 09:53:25', '31.6']"
"['2023-02-18 09:52:25', '31.6']"
"['2023-02-18 09:51:25', '31.6']"
"['2023-02-18 09:50:25', '31.6']"
"['2023-02-18 09:49:25', '31.6']"
"['2023-02-18 09:48:25', '31.6']"
"['2023-02-18 09:47:25', '31.6']"
"['2023-02-18 09:46:25', '31.6']"
"['2023-02-18 09:45:25', '31.6']"
"['2023-02-18 09:44:25', '31.6']"
"['2023-02-18 09:43:25', '31.6']"
"['2023-02-18 09:42:25', '31.6']"
"['2023-02-18 09:41:25', '31.6']"
"['2023-02-18 09:40:25', '31.6']"
"['2023-02-18 09:39:25', '31.6']"
"['2023-02-18 09:38:25', '31.6']"
"['2023-02-18 09:37:25', '31.6']"
"['2023-02-18 09:36:25', '31.6']"
"['2023-02-18 09:35:25', '31.6']"
"['2023-02-18 10:04:25', '31.5']"
"['2023-02-18 10:03:25', '31.5']"
"['2023-02-18 10:07:25', '31.5']"
"['2023-02-18 10:06:25', '31.5']"
"['2023-02-18 10:09:25', '31.5']"
"['2023-02-18 10:08:25', '31.5']"
"['2023-02-18 10:14:25', '31.5']"
"['2023-02-18 10:13:25', '31.5']"
"['2023-02-18 10:25:25', '31.5']"
"['2023-02-18 10:24:25', '31.5']"
"['2023-02-18 10:23:25', '31.5']"
"['2023-02-18 10:22:25', '31.5']"
"['2023-02-18 10:21:25', '31.5']"
"['2023-02-18 10:20:25', '31.5']"
"['2023-02-18 10:19:25', '31.5']"
"['2023-02-18 10:18:25', '31.5']"
"['2023-02-18 10:17:25', '31.5']"
"['2023-02-18 10:16:25', '31.5']"
"['2023-02-18 10:15:25', '31.5']"
"['2023-02-18 10:28:25', '31.5']"
"['2023-02-18 10:27:25', '31.5']"
"['2023-02-18 10:32:25', '31.5']"
"['2023-02-18 10:31:25', '31.5']"
"['2023-02-18 10:36:25', '31.4']"
"['2023-02-18 10:35:25', '31.4']"
"['2023-02-18 10:42:25', '31.3']"
"['2023-02-18 10:41:25', '31.3']"
"['2023-02-18 10:47:25', '31.1']"
"['2023-02-18 10:46:25', '31.1']"
"['2023-02-18 10:50:25', '31.1']"
"['2023-02-18 10:49:25', '31.1']"
"['2023-02-18 10:48:25', '31.1']"
"['2023-02-18 10:59:25', '31.0']"
"['2023-02-18 10:58:25', '31.0']"
"['2023-02-18 11:04:25', '31.0']"
"['2023-02-18 11:03:25', '31.0']"
"['2023-02-18 11:09:25', '30.9']"
"['2023-02-18 11:08:25', '30.9']"
"['2023-02-18 11:12:25', '30.8']"
"['2023-02-18 11:11:25', '30.8']"
"['2023-02-18 11:20:25', '30.8']"
"['2023-02-18 11:19:25', '30.8']"
"['2023-02-18 11:31:25', '30.6']"
"['2023-02-18 11:30:25', '30.6']"
"['2023-02-18 11:37:25', '30.6']"
"['2023-02-18 11:36:25', '30.6']"
"['2023-02-18 11:42:25', '30.5']"
"['2023-02-18 11:41:25', '30.6']"
"['2023-02-18 11:48:25', '30.5']"
"['2023-02-18 11:47:25', '30.5']"
"['2023-02-18 11:52:25', '30.5']"
"['2023-02-18 11:51:25', '30.5']"
"['2023-02-18 11:59:25', '30.5']"
"['2023-02-18 11:58:25', '30.5']"
"['2023-02-18 12:07:25', '30.4']"
"['2023-02-18 12:06:25', '30.4']"
"['2023-02-18 12:10:25', '30.4']"
"['2023-02-18 12:09:25', '30.4']"
