
"['2023-02-16 12:25:34, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:13:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:22:10, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:22:46, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:23:22, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:24:43, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:24:53, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:25:13, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:25:22, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:30:35, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-09-02 00:41:41, 2022-09-02 00:41:41, Причина выхода из строя ротора - повышенная температура т.2, 36 days, 4:21:49']"
"['2023-02-16 12:28:50, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2024-01-27 20:19:52, Причина выхода из строя ротора - повышенная температура т.1, 539 days, 0:00:0']"
"['2023-02-16 12:13:40, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:16:52, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:22:29, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:23:03, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:27:41, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2024-01-27 20:19:52, Причина выхода из строя ротора - повышенная температура т.1, 539 days, 0:00:0']"
"['2023-02-16 12:28:17, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2024-01-27 20:19:52, Причина выхода из строя ротора - повышенная температура т.1, 539 days, 0:00:0']"
"['2023-02-16 12:35:06, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-09-02 00:41:41, 2022-09-02 00:41:41, Причина выхода из строя ротора - повышенная температура т.2, 36 days, 4:21:49']"
"['2023-02-16 12:25:44, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:30:57, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-09-02 00:41:41, 2022-09-02 00:41:41, Причина выхода из строя ротора - повышенная температура т.2, 36 days, 4:21:49']"
"['2023-02-16 12:31:17, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-09-02 00:41:41, 2022-09-02 00:41:41, Причина выхода из строя ротора - повышенная температура т.2, 36 days, 4:21:49']"
"['2023-02-16 12:25:58, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:46:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 16:39:21, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 16:39:31, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:25:34, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:13:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:13:20, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:14:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:19:02, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:19:18, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:19:32, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:19:44, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:20:00, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:20:15, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:20:26, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:20:39, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:20:59, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:21:20, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:21:40, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:21:59, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:22:10, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:22:46, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:23:22, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:24:43, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:24:53, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:25:13, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:25:22, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:30:35, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-09-02 00:41:41, 2022-09-02 00:41:41, Причина выхода из строя ротора - повышенная температура т.2, 36 days, 4:21:49']"
"['2023-02-16 12:46:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 16:39:21, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:28:50, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2024-01-27 20:19:52, Причина выхода из строя ротора - повышенная температура т.1, 539 days, 0:00:0']"
"['2023-02-16 12:13:40, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:16:52, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:22:29, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:23:03, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:27:41, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2024-01-27 20:19:52, Причина выхода из строя ротора - повышенная температура т.1, 539 days, 0:00:0']"
"['2023-02-16 12:28:17, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2024-01-27 20:19:52, Причина выхода из строя ротора - повышенная температура т.1, 539 days, 0:00:0']"
"['2023-02-16 12:35:06, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-09-02 00:41:41, 2022-09-02 00:41:41, Причина выхода из строя ротора - повышенная температура т.2, 36 days, 4:21:49']"
"['2023-02-16 16:39:31, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:25:44, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:30:57, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-09-02 00:41:41, 2022-09-02 00:41:41, Причина выхода из строя ротора - повышенная температура т.2, 36 days, 4:21:49']"
"['2023-02-16 12:31:17, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-09-02 00:41:41, 2022-09-02 00:41:41, Причина выхода из строя ротора - повышенная температура т.2, 36 days, 4:21:49']"
"['2023-02-16 12:25:58, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:25:34, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:13:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:13:20, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:14:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:19:02, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:19:18, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:19:32, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:19:44, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:20:00, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:20:15, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:20:26, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:20:39, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:20:59, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:21:20, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:21:40, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:21:59, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:22:10, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:22:46, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:23:22, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:24:43, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:24:53, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:25:13, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:25:22, 2022-08-18 01:28:26, 2022-08-12 15:58:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-12 15:58:02, Причина выхода из строя ротора - повышенная вибрация т.2, 5 days, 19:38:10']"
"['2023-02-16 12:30:35, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-09-02 00:41:41, 2022-09-02 00:41:41, Причина выхода из строя ротора - повышенная температура т.2, 36 days, 4:21:49']"
"['2023-02-16 12:46:02, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 16:39:21, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:28:50, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2024-01-27 20:19:52, Причина выхода из строя ротора - повышенная температура т.1, 539 days, 0:00:0']"
"['2023-02-16 12:13:40, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:16:52, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, Причина выхода из строя ротора - повышенная вибрация т.1, 9999-09-09']"
"['2023-02-16 12:22:29, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:23:03, 2022-08-18 01:28:26, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-08-18 01:28:26, Причина выхода из строя ротора - повышенная вибрация т.1, 11 days, 5:08:34']"
"['2023-02-16 12:27:41, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2024-01-27 20:19:52, Причина выхода из строя ротора - повышенная температура т.1, 539 days, 0:00:0']"
"['2023-02-16 12:28:17, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2024-01-27 20:19:52, 9999-02-01 01:01:01, 2024-01-27 20:19:52, Причина выхода из строя ротора - повышенная температура т.1, 539 days, 0:00:0']"
"['2023-02-16 12:35:06, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 9999-02-01 01:01:01, 2022-09-02 00:41:41, 2022-09-02 00:41:41, Причина выхода из строя ротора - повышенная температура т.2, 36 days, 4:21:49']"
